station_abbr;reference_timestamp;rhs150m0;rh9120mv;rhs001m0
AIR;01.05.1913 00:00;116.6;63;
AIR;01.06.1913 00:00;50.9;29;
AIR;01.07.1913 00:00;76.5;58;
AIR;01.08.1913 00:00;113.7;65;
AIR;01.09.1913 00:00;307.7;162;
AIR;01.10.1913 00:00;482.2;222;
AIR;01.11.1913 00:00;209.5;95;
AIR;01.12.1913 00:00;47.7;42;
AIR;01.01.1914 00:00;77.1;72;
AIR;01.02.1914 00:00;170.3;208;
AIR;01.03.1914 00:00;190.3;192;
AIR;01.04.1914 00:00;77;51;
AIR;01.05.1914 00:00;289.3;157;
AIR;01.06.1914 00:00;177.7;101;
AIR;01.07.1914 00:00;283.4;213;
AIR;01.08.1914 00:00;264.6;151;
AIR;01.09.1914 00:00;88.4;47;
AIR;01.10.1914 00:00;374.8;173;
AIR;01.11.1914 00:00;51.3;23;
AIR;01.12.1914 00:00;195.8;170;
AIR;01.01.1915 00:00;136.5;128;
AIR;01.02.1915 00:00;204.1;249;
AIR;01.03.1915 00:00;108.2;109;
AIR;01.04.1915 00:00;92.5;61;
AIR;01.05.1915 00:00;118.8;65;
AIR;01.06.1915 00:00;62.3;36;
AIR;01.07.1915 00:00;253.3;190;
AIR;01.08.1915 00:00;59;34;
AIR;01.09.1915 00:00;267.3;141;
AIR;01.10.1915 00:00;33.9;16;
AIR;01.11.1915 00:00;57.5;26;
AIR;01.12.1915 00:00;192.7;168;
AIR;01.01.1916 00:00;20.1;19;
AIR;01.02.1916 00:00;285.6;349;
AIR;01.03.1916 00:00;296.6;299;
AIR;01.04.1916 00:00;158.4;105;
AIR;01.05.1916 00:00;199.3;108;
AIR;01.06.1916 00:00;241;138;
AIR;01.07.1916 00:00;182.9;138;
AIR;01.08.1916 00:00;174.5;100;
AIR;01.09.1916 00:00;152.8;81;
AIR;01.10.1916 00:00;127.8;59;
AIR;01.11.1916 00:00;198;90;
AIR;01.12.1916 00:00;306.6;267;
AIR;01.01.1917 00:00;57.5;54;
AIR;01.02.1917 00:00;6.9;8;
AIR;01.03.1917 00:00;183.2;185;
AIR;01.04.1917 00:00;260.6;172;
AIR;01.05.1917 00:00;363.4;198;
AIR;01.06.1917 00:00;134;77;
AIR;01.07.1917 00:00;281.4;212;
AIR;01.08.1917 00:00;321.7;184;
AIR;01.09.1917 00:00;79;42;
AIR;01.10.1917 00:00;346.4;159;
AIR;01.11.1917 00:00;49.2;22;
AIR;01.12.1917 00:00;57.1;50;
AIR;01.01.1918 00:00;67.7;63;
AIR;01.02.1918 00:00;10.5;13;
AIR;01.03.1918 00:00;156.2;157;
AIR;01.04.1918 00:00;251.6;166;
AIR;01.05.1918 00:00;113;61;
AIR;01.06.1918 00:00;465.7;266;
AIR;01.07.1918 00:00;101.2;76;
AIR;01.08.1918 00:00;115.1;66;
AIR;01.09.1918 00:00;382.2;201;
AIR;01.10.1918 00:00;166.8;77;
AIR;01.11.1918 00:00;106.9;49;
AIR;01.12.1918 00:00;297.8;259;
AIR;01.01.1919 00:00;243.1;227;
AIR;01.02.1919 00:00;62.3;76;
AIR;01.03.1919 00:00;89.1;90;
AIR;01.04.1919 00:00;151.9;100;
AIR;01.05.1919 00:00;12.1;7;
AIR;01.06.1919 00:00;63.7;36;
AIR;01.07.1919 00:00;157.6;118;
AIR;01.08.1919 00:00;66.9;38;
AIR;01.09.1919 00:00;241.2;127;
AIR;01.10.1919 00:00;128.5;59;
AIR;01.11.1919 00:00;221.5;101;
AIR;01.12.1919 00:00;191.6;167;
AIR;01.01.1920 00:00;177.6;166;
AIR;01.02.1920 00:00;13.2;16;
AIR;01.03.1920 00:00;240.1;242;
AIR;01.04.1920 00:00;277.7;183;
AIR;01.05.1920 00:00;133.9;73;
AIR;01.06.1920 00:00;74.5;43;
AIR;01.07.1920 00:00;249.6;188;
AIR;01.08.1920 00:00;62.9;36;
AIR;01.09.1920 00:00;420.3;222;
AIR;01.10.1920 00:00;123.9;57;
AIR;01.11.1920 00:00;92.5;42;
AIR;01.12.1920 00:00;44.5;39;
AIR;01.01.1921 00:00;66.9;63;
AIR;01.02.1921 00:00;33;40;
AIR;01.03.1921 00:00;47.9;48;
AIR;01.04.1921 00:00;89.8;59;
AIR;01.05.1921 00:00;87.5;48;
AIR;01.06.1921 00:00;84.5;48;
AIR;01.07.1921 00:00;114.2;86;
AIR;01.08.1921 00:00;354.6;203;
AIR;01.09.1921 00:00;89.1;47;
AIR;01.10.1921 00:00;7.1;3;
AIR;01.11.1921 00:00;75.9;35;
AIR;01.12.1921 00:00;5.4;5;
AIR;01.01.1922 00:00;159;149;
AIR;01.02.1922 00:00;47.4;58;
AIR;01.03.1922 00:00;290.3;293;
AIR;01.04.1922 00:00;189.8;125;
AIR;01.05.1922 00:00;77.1;42;
AIR;01.06.1922 00:00;131.6;75;
AIR;01.07.1922 00:00;198.3;149;
AIR;01.08.1922 00:00;320.5;183;
AIR;01.09.1922 00:00;289.3;153;
AIR;01.10.1922 00:00;153;70;
AIR;01.11.1922 00:00;56.3;26;
AIR;01.12.1922 00:00;200.7;175;
AIR;01.01.1923 00:00;4.4;4;
AIR;01.02.1923 00:00;21;26;
AIR;01.03.1923 00:00;12.4;13;
AIR;01.04.1923 00:00;193.1;128;
AIR;01.05.1923 00:00;395.8;215;
AIR;01.06.1923 00:00;15.2;9;
AIR;01.07.1923 00:00;46.9;35;
AIR;01.08.1923 00:00;195.2;112;
AIR;01.09.1923 00:00;215.9;114;
AIR;01.10.1923 00:00;534.3;246;
AIR;01.11.1923 00:00;317.7;145;
AIR;01.12.1923 00:00;206.8;180;
AIR;01.01.1924 00:00;37.1;35;
AIR;01.02.1924 00:00;48.2;59;
AIR;01.03.1924 00:00;99.1;100;
AIR;01.04.1924 00:00;81.8;54;
AIR;01.05.1924 00:00;371;202;
AIR;01.06.1924 00:00;127.6;73;
AIR;01.07.1924 00:00;153.6;115;
AIR;01.08.1924 00:00;286.7;164;
AIR;01.09.1924 00:00;320.8;169;
AIR;01.10.1924 00:00;250.5;115;
AIR;01.11.1924 00:00;71.3;32;
AIR;01.12.1924 00:00;98.4;86;
AIR;01.01.1925 00:00;9.4;9;
AIR;01.02.1925 00:00;377.7;461;
AIR;01.03.1925 00:00;138.4;140;
AIR;01.04.1925 00:00;89.5;59;
AIR;01.05.1925 00:00;220.7;120;
AIR;01.06.1925 00:00;5.7;3;
AIR;01.07.1925 00:00;204.5;154;
AIR;01.08.1925 00:00;277.4;159;
AIR;01.09.1925 00:00;395.1;208;
AIR;01.10.1925 00:00;134.3;62;
AIR;01.11.1925 00:00;80.4;37;
AIR;01.12.1925 00:00;164.4;143;
AIR;01.01.1926 00:00;86.1;80;
AIR;01.02.1926 00:00;219.5;268;
AIR;01.03.1926 00:00;94.6;95;
AIR;01.04.1926 00:00;149.1;98;
AIR;01.05.1926 00:00;376.2;204;
AIR;01.06.1926 00:00;117.9;67;
AIR;01.07.1926 00:00;146.9;110;
AIR;01.08.1926 00:00;55.1;32;
AIR;01.09.1926 00:00;80.4;42;
AIR;01.10.1926 00:00;421.6;194;
AIR;01.11.1926 00:00;868.5;396;
AIR;01.12.1926 00:00;26.4;23;
AIR;01.01.1927 00:00;78;73;
AIR;01.02.1927 00:00;72.1;88;
AIR;01.03.1927 00:00;203.3;205;
AIR;01.04.1927 00:00;143.8;95;
AIR;01.05.1927 00:00;87.4;48;
AIR;01.06.1927 00:00;390.5;223;
AIR;01.07.1927 00:00;290;218;
AIR;01.08.1927 00:00;264.3;151;
AIR;01.09.1927 00:00;393.9;208;
AIR;01.10.1927 00:00;54.6;25;
AIR;01.11.1927 00:00;416.4;190;
AIR;01.12.1927 00:00;107.4;93;
AIR;01.01.1928 00:00;49.7;46;
AIR;01.02.1928 00:00;107.6;131;
AIR;01.03.1928 00:00;258.2;260;
AIR;01.04.1928 00:00;344;227;
AIR;01.05.1928 00:00;160.5;87;
AIR;01.06.1928 00:00;184.9;106;
AIR;01.07.1928 00:00;32.2;24;
AIR;01.08.1928 00:00;179.9;103;
AIR;01.09.1928 00:00;49.6;26;
AIR;01.10.1928 00:00;703.2;324;
AIR;01.11.1928 00:00;247.5;113;
AIR;01.12.1928 00:00;52.1;45;
AIR;01.01.1929 00:00;14.8;14;
AIR;01.02.1929 00:00;3.3;4;
AIR;01.03.1929 00:00;10.2;10;
AIR;01.04.1929 00:00;400.6;265;
AIR;01.05.1929 00:00;160.8;87;
AIR;01.06.1929 00:00;89.5;51;
AIR;01.07.1929 00:00;115.9;87;
AIR;01.08.1929 00:00;183.9;105;
AIR;01.09.1929 00:00;35.3;19;
AIR;01.10.1929 00:00;356.5;164;
AIR;01.11.1929 00:00;115.2;53;
AIR;01.12.1929 00:00;144.5;126;
AIR;01.01.1930 00:00;99.7;93;
AIR;01.02.1930 00:00;25;31;
AIR;01.03.1930 00:00;104.1;105;
AIR;01.04.1930 00:00;235.5;156;
AIR;01.05.1930 00:00;194.7;106;
AIR;01.06.1930 00:00;167;95;
AIR;01.07.1930 00:00;198.1;149;
AIR;01.08.1930 00:00;126.6;72;
AIR;01.09.1930 00:00;168.7;89;
AIR;01.10.1930 00:00;62;29;
AIR;01.11.1930 00:00;340.6;155;
AIR;01.12.1930 00:00;40.1;35;
AIR;01.01.1931 00:00;90.5;85;
AIR;01.02.1931 00:00;154.7;189;
AIR;01.03.1931 00:00;80.2;81;
AIR;01.04.1931 00:00;53.9;36;
AIR;01.05.1931 00:00;261.5;142;
AIR;01.06.1931 00:00;76.4;44;
AIR;01.07.1931 00:00;303.8;228;
AIR;01.08.1931 00:00;346.9;198;
AIR;01.09.1931 00:00;155.1;82;
AIR;01.10.1931 00:00;120.6;56;
AIR;01.11.1931 00:00;234.2;107;
AIR;01.12.1931 00:00;18.6;16;
AIR;01.01.1932 00:00;65;61;
AIR;01.02.1932 00:00;7.4;9;
AIR;01.03.1932 00:00;62.9;63;
AIR;01.04.1932 00:00;115.2;76;
AIR;01.05.1932 00:00;475.2;258;
AIR;01.06.1932 00:00;237.5;136;
AIR;01.07.1932 00:00;291;219;
AIR;01.08.1932 00:00;49.3;28;
AIR;01.09.1932 00:00;580.5;306;
AIR;01.10.1932 00:00;306.3;141;
